Name,Title,Rating,Comments
Flipkart Customer,Mind-blowing purchase,5,Super and cool photoREAD MORE
Amit Kumar Chaudhary,Super!,5,SatisfiedREAD MORE
Ravi Arya,Mind-blowing purchase,5,I love it ❤️❤️READ MORE
Arpit Singh,Great product,5,My father's first iphone❤️Colour is awesome and so light in weight It should be available with 256gbAnyways design and camera is awesomeREAD MORE
Rinky Kumari,Terrific purchase,5,Awesome..Loved It.🥰🥰READ MORE
Flipkart Customer,Best in the market!,5,iOS is always amazing.READ MORE
Praveen Sharma,Worth every penny,5,Best phoneREAD MORE
Rohit Kumar,Best in the market!,5,Finally I got it 😃 and love it 😘READ MORE
ashwin  roy,Perfect product!,5,Awesome productREAD MORE
Vikas Sharma,Best in the market!,5,"Worth purchase, good display and camera, battery can last almost a day on moderate usage without gaming, amazing sound quality.overall a perfect compact phone.READ MORE"
Dipanwita Banerjee,Wonderful,5,Just wow it's worth the priceREAD MORE
Mohammad Numaan,Great product,5,Battery Life is an issue other than that best phone to buy.READ MORE
Deepu Sharma,Great product,5,🥰Good ProductsREAD MORE
Harsh Gopal,A Great upgrade from iPhone 12!,5,"Upgraded to the 16 from my 12 and it is a great phone. The Ultramarine Blue looks and feels sooo good. The photos don't do enough justice to this variant.You definitely do not need to upgrade to this if you are having a 14 or a 15, unless Apple Intelligence is something that you do not want to live without.Camera is great, though not very sure of the Camera Control thing, cuz all that is pretty much available on-screen UI. Also, got a great deal on the exchange and bank offer, so zero co...READ MORE"
Yogesh Bhardwaj,Super!,5,My wife 1st i phone thank you 🙏READ MORE
94161 34442,Terrific purchase,5,goodREAD MORE
Abhinandan Naag,Just wow!,5,"Great Deal and Bank offer on Flipkart. Camera is excellent but observed heating issue while transferring data and while charging. I used to get same overheating issue in my Iphone 11, heating issue is same as my 4 year old iphone 11. Will post another review after a week of usage.READ MORE"
Pratyush  Kumar ,Highly recommended,5,like it feel premiumREAD MORE
Akshay Gunjal,Terrific purchase,5,"Bought the phone solely for battery performance and assuming camera of iPhones are always good. A bit of disappointment as I switched from Samsung S22 Plus which offered great screen quality, excellent camera and Galaxy AI did wonders while iPhone 16 is not performing as expected in terms of battery and camera quality. Pros:1. Touch screen 2. Build Quality3. Light weightCons 1. No major cons only thing is you will feel disappointed for few days as you switch from android to iOS more i...READ MORE"
Mostafizur  Rahman ,Good,3,Good cREAD MORE
TANMOY RAI,Awesome,5,Very goodREAD MORE
Deepak kumar,Terrific,5,iPhone 16 is best for those who not buy 15 series. And it has very best hand feel.READ MORE
Manash Bisoi ,Great product,5,Love itREAD MORE
Swostik,Must buy!,5,Wonderfully lightweight stuff. Worth purchasing. Improved speakers and a more seamless display. Incredibly cozy to use with one hand. Go for Teal colour.READ MORE
Rahul yadav,Fabulous!,5,Colour is very good also camera placementREAD MORE
Disha Singh,Brilliant,5,Doing good as of now!READ MORE
sai kumar,Just wow!,5,Fell in love with the colourREAD MORE
Nandu Surendran,Highly recommended,5,The best compact phone at the perfect 6.1 size. Only issue is with the outdated 60Hz display and a slower charging speed. Can't complain as it is cheaper than even the Pixel 9!READ MORE
Shivm Sharma,Fabulous!,5,Best device from Apple ❤️ Its much smoother than the previous modelREAD MORE
Amandeep Tiwari,Brilliant,5,Best for videography and also good for photos if you are interested in little bit editing .Look and feel of the phone is premium and top notch software experience .Battery backup is good considering the form factor and performance is also superb .Major problem is low refresh rate but I tink those who are going to buy they know it already .Apple intelligence is till now under beta and some bugs are there which will be rectified by apple in updates Overall a good buy if videography is a pr...READ MORE
Sudheer Mehdad,Terrific purchase,5,GreatREAD MORE
Shivani Singh,Nice,3,I like this phone but there is no difference between 15 and 16 and apple Intelligence is also not in phone yet. Overall the phone is good but apple can do betterREAD MORE
saswata  sanyal,Perfect product!,5,"This is Apple 😁 The best quality delivered always. When I was installing my backup from my iPad, it became very hot during camera operation. But after the software update, gradually it became normal.Now it is working well. I also went to Imagine for a checkup and came to know that this is quite normal.That's it. I hope after the Apple intelligence update we can have some new features and entertainment windows will open for us 😀 Thanks, FLIPKART, for delivering with promise and safety.READ MORE"
